name,age,rank
Gabriel Montilla,24.5,902
Gabriel Moraru,25.9,428
Gabriel Pitta,24.3,726
Gabriel Trifu,26.5,310
Gabriel Trujillo Soler,28.5,237
Gael Monfils,27.5,39
Galo Blanco,25.4,98
Gastao Elias,24.6,150
Gaston Etlis,27.1,182
Gaston Gaudio,24.8,39
Genaro Alberto Olivieri,24.8,231
Genaro Deleon,30.1,-1
Genius Chidzikwe,24.8,653
Geoffrey Blancaneaux,23.3,185
George Bastl,27.7,133
George Chantouria,18.0,-1
George Kallis,20.8,-1
George Khrikadze,19.3,-1
George Loffhagen,22.2,369
George Tsivadze,24.4,890
Georgio Bedran,17.2,-1
Gerald Melzer,26.1,151
Gerard Granollers,22.9,300
Gerardo Lopez Villasenor,24.4,823
Gergely Kisgyorgy,26.0,570
Germain Gigounon,26.0,209
German Puentes,28.2,107
Gert Vilms,20.8,-1
Gian Marco Moroni,22.7,228
Gianluca Mager,26.2,94
Gianluca Naso,21.9,314
Gianluca Pozzi,35.3,63
Gianluigi Quinzi,21.5,298
Gianni Mina,21.0,449
Gijs Brouwer,27.1,181
Gilbert Wong,20.0,-1
Giles Hussey,27.0,359
Gilles Arnaud Bailly,18.0,1027
Gilles Elseneer,25.5,164
Gilles Kremer,25.0,1237
Gilles Muller,28.6,75
Gilles Simon,28.2,34
Gillian Osmont,20.7,-1
Gino Meeuwsen,18.0,-1
Giorgi Javakhishvili,20.3,1105
Giorgio Galimberti,26.9,162
Giovani Samaha,20.9,1573
Giovanni Lapentti,23.2,269
